title,price,image
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",23742 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7648_1586.jpg
"Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4020 (2.80Ghz), 4GB, 256GB SSD m.2 NVMe, 15.6"" HD TN, WiFi, Bluetooth, DOS, серый [81WQ00EKRK]",23742 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1959_7001.jpg
"Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,1TB,15.6"" FHD,RUS,DOS HDMI, BLACK",23838 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4801_3627.jpg
"Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4020 (2.80Ghz), 4GB, 500GB SSD m.2 NVMe, 15.6"" HD TN, WiFi, Bluetooth, DOS, серый [81WQ00EKRK]",24895 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2704.jpg
"Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 128GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus",24991 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2528_7347_1054.jpg
"Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4020 (2.80Ghz), 4GB, 1TB HDD+ 128GB SSD m.2 NVMe, 15.6"" HD TN, WiFi, Bluetooth, DOS, серый [81WQ00EKRK]",24991 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2065_6441.jpg
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 120GB M.2 SSD, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus",25280 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7461_6959.jpg
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus",25280 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2528_5087.jpg
"Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4020 (2.80Ghz), 4GB, 1TB HDD+ 256GB SSD m.2 NVMe, 15.6"" HD TN, WiFi, Bluetooth, DOS, серый [81WQ00EKRK]",25280 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5421_2339.jpg
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus",25472 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2528_8239.jpg
